F32H2.5	FasN-1	K00665
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
ZK1058.2	Pat-3	K05719
C01H6.5	Nhr-23	K08701
F11A1.3	Daf-12	K08701
F44A6.2	Sex-1	K08701
H12C20.3	Nhr-68	K08704
K08H2.8	Nhr-32	K08704
K10C3.6	Nhr-49	K08704
C45E1.1	Nhr-64	K07295
F56E3.4	Fax-1	K07295
T23H4.2	Nhr-69	K07295
C08F8.8	Nhr-67	K08545
F55D12.4	Unc-55	K08547
C48D5.1	Nhr-6	K08558
Y15E3A.1	Nhr-91	K09185
T18D3.2	Odr-7	K08706
H02I12.8	Cyp-31a2	K07427
K04G2.1	IftB-1	K03238
C15F1.4	Ppp-1	K03241
F54C9.1	Iff-2	K03263
T05G5.10	Iff-1	K03263
Y54F10BM.2	IffB-1	K03243
C47B2.5	Eif-6	K03264
Y40B1B.5	Eif-3.j	K03245
Y74C10AR.1	Eif-3.i	K03246
C41D11.2	Eif-3.h	K03247
F22B5.2	Eif-3.g	K03248
D2013.7	Eif-3.f	K03249
B0511.10	Eif-3.e	K03250
R08D7.3	Eif-3.d	K03251
T23D8.4	Eif-3.c	K03252
Y54E2A.11	Eif-3.b	K03253
C27D11.1	Egl-45	K03254
F57B9.6	Inf-1	K03257
B0348.6	Ife-3	K03259
C05D9.5	Ife-4	K03259
F53A2.6	Ife-1	K03259
R04A9.4	Ife-2	K03259
Y57A10A.30	Ife-5	K03259
M110.4	Ifg-1	K03260
F55C5.5	TsfM-1	K02357
C43E11.4	TufM-2	K02358
Y71H2AM.23	TufM-1	K02358
F31E3.5	Eft-3	K03231
R03G5.1	Eft-4	K03231
F25H5.4	Eft-2	K03234
F37E3.1	NcbP-1	K12882
F26A3.2	NcbP-2	K12883
F42A6.7	Hrp-1	K12741
Y111B2A.18	Rsp-3	K12890
EEED8.7	Rsp-4	K12891
W02B12.2	Rsp-2	K12893
W02B12.3	Rsp-1	K12893
C33H5.12	Rsp-6	K12896
C18D11.4	Rsp-8	K12897
W08E3.1	Snr-2	K11086
T28D9.10	Snr-3	K11087
C52E4.3	Snr-4	K11096
Y116A8C.42	Snr-1	K11088
Y49E10.15	Snr-6	K11097
ZK652.1	Snr-5	K11098
Y71F9B.4	Snr-7	K11099
K04G7.10	Rnp-7	K11093
W08E3.1	Snr-2	K11086
T28D9.10	Snr-3	K11087
C52E4.3	Snr-4	K11096
Y116A8C.42	Snr-1	K11088
Y49E10.15	Snr-6	K11097
ZK652.1	Snr-5	K11098
Y71F9B.4	Snr-7	K11099
H20J04.8	Sap-1	K11092
W07E6.4	Prp-21	K12825
K02F2.3	Tag-203	K12830
C08B11.6	ActIn	K12831
Y54F10BM.14	Phf-5	K12834
Y116A8C.35	Uaf-2	K12836
Y92C3B.2	Uaf-1	K12837
F53H1.1	HelIcase	K12811
Y47G6A.20	Rnp-6	K12838
Y71D11A.2	Smr-1	K12839
Y54G9A.6	Bub-3	K02180
B0495.2	Cdc2	K08818
Y116A8C.32	Sfa-1	K13095
W08E3.1	Snr-2	K11086
T28D9.10	Snr-3	K11087
C52E4.3	Snr-4	K11096
Y116A8C.42	Snr-1	K11088
Y49E10.15	Snr-6	K11097
ZK652.1	Snr-5	K11098
Y71F9B.4	Snr-7	K11099
K04G7.10	Rnp-7	K11093
W08E3.1	Snr-2	K11086
T28D9.10	Snr-3	K11087
C52E4.3	Snr-4	K11096
Y116A8C.42	Snr-1	K11088
Y49E10.15	Snr-6	K11097
ZK652.1	Snr-5	K11098
Y71F9B.4	Snr-7	K11099
H20J04.8	Sap-1	K11092
W07E6.4	Prp-21	K12825
K02F2.3	Tag-203	K12830
C08B11.6	ActIn	K12831
Y54F10BM.14	Phf-5	K12834
Y116A8C.35	Uaf-2	K12836
Y92C3B.2	Uaf-1	K12837
F53H1.1	HelIcase	K12811
Y47G6A.20	Rnp-6	K12838
Y71D11A.2	Smr-1	K12839
W08E3.1	Snr-2	K11086
T28D9.10	Snr-3	K11087
C52E4.3	Snr-4	K11096
Y116A8C.42	Snr-1	K11088
Y49E10.15	Snr-6	K11097
ZK652.1	Snr-5	K11098
Y71F9B.4	Snr-7	K11099
T10G3.6	Gut-2	K12621
Y62E10A.12	Lsm-3	K12622
F32A5.7	Lsm-4	K12623
F28F8.3	Lsm-5	K12624
Y71G12B.14	Lsm-6	K12625
ZK593.7	Lsm-7	K12626
Y73B6BL.32	Lsm-8	K12627
C36B1.5	Prp-4	K12662
T01B7.4	Cyn-11	K09567
ZK328.2	Eft-1	K12852
C50C3.6	Prp-8	K12856
F01F1.7	Ddx-23	K12858
Y47D3A.27	Teg-1	K13099
F33A8.1	Let-858	K13100
C04H5.6	Mog-4	K12813
F59E10.2	Cyn-4	K10598
W08D2.7	Mtr-4	K12598
T04A8.10	Sel-13	K13104
D1054.15	Tag-135	K12862
C12C8.1	Hsp-70	K03283
F26D10.3	Hsp-1	K03283
T27F2.1	Skp-1	K06063
Y80D3A.2	Emb-4	K12874
Y116A8C.34	Cyn-13	K09564
C34D4.12	Cyn-12	K12733
Y49F6B.4	Smu-2	K13109
CC4.3	Smu-1	K13111
F46F11.4	Ubl-5	K13113
W08E3.1	Snr-2	K11086
T28D9.10	Snr-3	K11087
C52E4.3	Snr-4	K11096
Y116A8C.42	Snr-1	K11088
Y49E10.15	Snr-6	K11097
ZK652.1	Snr-5	K11098
Y71F9B.4	Snr-7	K11099
T10G3.6	Gut-2	K12621
Y62E10A.12	Lsm-3	K12622
H20J04.8	Sap-1	K11092
W07E6.4	Prp-21	K12825
K02F2.3	Tag-203	K12830
C08B11.6	ActIn	K12831
Y54F10BM.14	Phf-5	K12834
W08E3.1	Snr-2	K11086
T28D9.10	Snr-3	K11087
C52E4.3	Snr-4	K11096
Y116A8C.42	Snr-1	K11088
Y49E10.15	Snr-6	K11097
ZK652.1	Snr-5	K11098
Y71F9B.4	Snr-7	K11099
ZK328.2	Eft-1	K12852
C50C3.6	Prp-8	K12856
F01F1.7	Ddx-23	K12858
F33A8.1	Let-858	K13100
C04H5.6	Mog-4	K12813
F59E10.2	Cyn-4	K10598
W08D2.7	Mtr-4	K12598
T04A8.10	Sel-13	K13104
C07E3.1	StiP-1	K13103
D1054.15	Tag-135	K12862
C12C8.1	Hsp-70	K03283
F26D10.3	Hsp-1	K03283
T27F2.1	Skp-1	K06063
Y80D3A.2	Emb-4	K12874
C34D4.12	Cyn-12	K12733
Y116A8C.34	Cyn-13	K09564
C26D10.2	Hel-1	K12812
R09B3.5	Mag-1	K12877
R07E5.14	Rnp-4	K12876
T02H6.2	ThoC-1	K12878
C16A3.8	ThoC-2	K12879
F32H2.4	ThoC-3	K12880
C01F6.5	Aly-1	K12881
F49D11.1	Prp-17	K12816
EEED8.5	Mog-5	K12818
K03H1.2	Mog-1	K12815
B0252.4	Cyn-10	K12734
F39H2.2	Sig-7	K12735
D1009.2	Cyn-8	K09566
Y87G2A.6	Cyn-15	K12736
Y17G7B.9	Cyn-16	K12737
H27M09.1	HelIcase	K13116
K01G5.1	Rnf-113	K13127
C07E3.1	StiP-1	K13103
C41G7.1	Smn-1	K13129
Y39A3CR.1	Smi-1	K13130
T06A10.1	Mel-46	K13131
Y71D11A.2	Smr-1	K12839
Y119D3B.17	Pes-4	K13162
Y73B6BL.6	Sqd-1	K03102
D2089.1	Rsp-7	K13165
C07H6.8	Cux-7	K13169
F28D9.1	Rsr-1	K13171
Y57A10A.19	Rsr-2	K13172
T02H6.2	ThoC-1	K12878
C16A3.8	ThoC-2	K12879
F32H2.4	ThoC-3	K12880
C01F6.5	Aly-1	K12881
C26D10.2	Hel-1	K12812
Y54E10A.9	Vbh-1	K11594
B0511.6	HelIcase	K13179
T07D4.3	Rha-1	K13184
C17D12.2	Unc-75	K13207
T01D1.2	Etr-1	K13207
Y71F9B.16	Dnj-30	K09528
F18C12.2	Rme-8	K09533
F29F11.6	Gsp-1	K06269
F56C9.1	Gsp-2	K06269
C34E10.5	PrmT-5	K02516
F22D6.5	PrpF-4	K08827
F25B5.7	Psf-1	K13219
B0464.5	Spk-1	K08831
Y47D3A.4	Cku-70	K10884
ZK1058.2	Pat-3	K05719
T23D8.2	Tsp-7	K06497
T21E3.3	Lrp-2	K04550
F57C7.3	Sdn-1	K06257
C42D8.5	Acn-1	K01283
ZK154.7	Adm-4	K06059
DY3.7	Sup-17	K06704
T10H9.2	Scd-2	K05119
B0218.3	Pmk-1	K04441
F42G8.3	Pmk-2	K04441
T24D1.4	Tag-179	K03850
Y66H1A.2	Dpm-1	K00721
Y116F11B.12	Gly-4	K00710
Y39E4B.12	Gly-5	K00710
Y45F10D.3	Gly-10	K00710
Y46H3A.6	Gly-7	K00710
ZK688.8	Gly-3	K00710
K04G7.3	Ogt-1	K09667
Y50D4C.4	Sqv-6	K00771
K10G9.3	Pad-2	K03691
F59G1.1	Cgt-3	K00720
Y73E7A.7	Bre-4	K07968
B0416.6	Gly-13	K00726
F48E3.1	Gly-12	K00726
M01F1.1	Gly-14	K00726
C03E10.4	Gly-20	K00736
C55B7.2	Gly-2	K00744
C10F3.6	Fut-8	K00717
T15D6.2	Gly-16	K00727
R10E11.4	Sqv-3	K00733
Y110A2AL.14	Sqv-2	K00734
ZK1307.5	Sqv-8	K10158
T24D1.1	Sqv-5	K13499
PAR2.4	Mig-22	K00747
F12F6.3	Rib-1	K02366
K01G5.6	Rib-2	K02370
K09C8.4	Lge-1	K09668
Y46G5A.31	Gsy-1	K00693
F48A11.1	Chs-2	K00698
T25G3.2	Chs-1	K00698
B0310.5	Ugt-46	K00699
C18C4.3	Ugt-48	K00699
F35H8.6	Ugt-58	K00699
F39G3.1	Ugt-61	K00699
T04H1.7	Ugt-55	K00699
T04H1.8	Ugt-56	K00699
T07C5.1	Ugt-50	K00699
C34F6.4	Hst-2	K02513
ZK1067.1	Let-23	K04361
C16D9.2	Rol-3	K05088
F59F3.1	Ver-3	K05096
F59F3.5	Ver-4	K05096
T17A3.1	Ver-1	K05096
T10H9.2	Scd-2	K05119
F11D5.3	Ddr-2	K05125
C16B8.1	Lin-18	K05128
C32D5.2	Sma-6	K13579
C05D2.1	Daf-4	K13597
C05D11.4	Let-756	K04358
T25F10.2	Dbl-1	K04662
F57C7.3	Sdn-1	K06257
C42D8.8	Apl-1	K04520
F41G3.12	Agr-1	K06254
Y47D3A.26	Smc-3	K06669
M03F4.2	Act-4	K05692
T04C12.4	Act-3	K05692
T04C12.5	Act-2	K05692
T04C12.6	Act-1	K05692
F47G6.4	Spe-15	K10358
T10H10.1	Hum-6	K10359
F56A6.2	Hum-7	K10360
F11C3.3	Unc-54	K10352
F52B10.1	Nmy-1	K10352
F58G4.1	Myo-5	K10352
K12F2.1	Myo-3	K10352
R06C7.10	Let-75	K10352
T18D3.4	Myo-2	K10352
C36E6.5	Mlc-2	K12759
C56G7.1	Mlc-4	K12759
Y79H2A.6	Arx-3	K05757
Y6D11A.2	Arx-4	K05758
Y37D8A.1	Arx-5	K05756
C35D10.16	Arx-6	K05755
M01B12.3	Arx-7	K05754
D2024.6	Cap-1	K10364
M106.5	Cap-2	K10365
W04D2.1	Atn-1	K05699
C23F12.1	FlnA-1	K04437
C23F12.2	FlnB-1	K04437
K10B3.10	Spc-1	K06114
K11C4.3	Unc-70	K06115
R31.1	Sma-1	K06115
C10H11.1	VilN-1	K10369
K03E6.6	Pfn-3	K05759
Y18D10A.20	Pfn-1	K05759
C06A5.7	Unc-94	K10370
Y105E8B.1	Lev-11	K09290
C07G1.4	Wsp-1	K05747
DY3.2	Lmn-1	K07611
B0350.2	Unc-44	K10380
C23F12.1	FlnA-1	K04437
C23F12.2	FlnB-1	K04437
K10B3.10	Spc-1	K06114
K11C4.3	Unc-70	K06115
R31.1	Sma-1	K06115
C44B11.3	Mec-12	K07374
F44F4.11	Tba-4	K07374
B0272.1	Tbb-4	K07375
C36E8.5	Tbb-2	K07375
C54C6.2	Ben-1	K07375
K01G5.7	Tbb-1	K07375
T04H1.9	Tbb-6	K07375
ZK154.3	Mec-7	K07375
F58A4.8	Tbg-1	K10389
C52E12.2	Unc-104	K10392
F56E3.3	Klp-4	K10392
K11D9.1	Klp-7	K10393
F20C5.2	Klp-11	K10394
M02B7.3	Osm-3	K10394
Y50D7A.6	Klp-20	K10394
R05D3.7	Unc-116	K10396
F23B12.8	Bmk-1	K10398
C18C4.10	Klc-2	K10407
T21E12.4	Dhc-1	K10413
F18C12.1	Che-3	K10414
C17H12.1	DycI-1	K10415
C39E9.14	Dli-1	K10416
F02D8.3	Xbx-1	K10417
T26A5.9	Dlc-1	K10418
T24H10.6	DyrB-1	K10419
ZK593.5	Dnc-1	K04648
C28H8.12	Dnc-2	K10424
C26B2.1	Dnc-4	K10426
ZK593.6	Lgg-2	K10435
Y59A8B.7	Ebp-1	K10436
Y48G8AL.11	Haf-6	K05655
ZK484.2	Haf-9	K05656
F14F4.3	Mrp-5	K05668
T02D1.5	Pmp-4	K05676
C54G10.3	Pmp-3	K05678
C05A9.1	Pgp-5	K02021
C30H6.6	Haf-1	K02021
C54D1.1	Pgp-10	K02021
DH11.3	Pgp-11	K02021
E03G2.2	Mrp-3	K02021
F20B6.3	Mrp-6	K02021
F21G4.2	Mrp-4	K02021
F22E10.1	Pgp-12	K02021
F22E10.2	Pgp-13	K02021
F22E10.3	Pgp-14	K02021
F43E2.4	Haf-2	K02021
F57A10.3	Haf-3	K02021
T21E8.1	Pgp-6	K02021
T21E8.2	Pgp-7	K02021
T21E8.3	Pgp-8	K02021
Y57G11C.1	Haf-8	K02021
M01F1.5	HmiT-1.3	K08150
Y51A2D.4	HmiT-1.1	K08150
Y51A2D.5	HmiT-1.2	K08150
ZK512.6	Eat-4	K12302
F52F12.1	Oct-1	K08202
W01C8.6	Cat-1	K08155
Y40H4A.1	Gar-3	K04131
C15B12.5	Gar-1	K04134
F47D12.1	Gar-2	K04134
F15A8.5	Dop-1	K04148
K09G1.4	Dop-2	K04148
Y22D7AR.13	Ser-4	K04164
K02F2.6	Ser-3	K04165
T23B3.4	Ckr-1	K04196
Y39A3B.5	Ckr-2	K04196
ZK455.3	Npr-9	K04233
C38C10.1	Tkr-1	K04225
F54E7.3	Par-3	K04237
C51E3.1	SrsX-26	K04257
C51E3.5	SrsX-30	K04257
F54D7.3	GnrR-1	K04280
B0286.2	Lat-2	K04593
Y58A7A.6	Glb-32	K08448
F45H11.4	Mgl-2	K04611
Y4C6A.2	Mgl-3	K04611
ZC506.4	Mgl-1	K04611
Y41G9A.4	Gbb-1	K04615
T23D8.1	Mom-5	K04690
B0213.7	Str-83	K08473
B0213.9	Str-247	K08473
B0334.7	Srh-44	K08473
B0391.12	Str-263	K08473
B0391.4	Str-12	K08473
B0547.4	Srd-8	K08473
C01B4.1	Str-257	K08473
C01B4.10	Str-76	K08473
C01B4.3	Str-258	K08473
C01B4.5	Srd-61	K08473
C02E7.13	Str-211	K08473
C02E7.2	Srh-21	K08473
C02E7.3	Srh-20	K08473
C02E7.4	Srh-22	K08473
C02E7.5	Srh-23	K08473
C02E7.9	Str-205	K08473
C03G6.11	Srh-231	K08473
C03G6.3	Srj-14	K08473
C03G6.7	Srh-275	K08473
C03G6.9	Srh-244	K08473
C04E6.10	Srd-15	K08473
C04E6.9	Srd-16	K08473
C04F2.1	Srh-79	K08473
C04F2.4	Srh-229	K08473
C05E4.10	Srj-25	K08473
C05E4.11	Srj-24	K08473
C05E4.13	Str-262	K08473
C05E4.2	Str-20	K08473
C05E4.6	Str-134	K08473
C06A8.7	Srh-39	K08473
C06B3.10	Str-250	K08473
C06B3.9	Str-252	K08473
C06B8.6	Srh-219	K08473
C06C6.2	Str-233	K08473
C06C6.3	Str-231	K08473
C06G8.4	Srd-7	K08473
C07G3.3	Str-227	K08473
C07G3.4	Str-226	K08473
C07G3.5	Str-228	K08473
C07G3.6	Str-225	K08473
C09H5.3	Str-140	K08473
C09H5.4	Str-143	K08473
C09H5.5	Str-144	K08473
C09H5.6	Str-131	K08473
C09H5.9	Str-130	K08473
C10G11.2	Srh-50	K08473
C12D8.12	Str-182	K08473
C13B7.2	Str-120	K08473
C13B7.3	Srd-60	K08473
C13B7.4	Srd-71	K08473
C13B7.5	Str-119	K08473
C14H10.4	Str-74	K08473
C17B7.1	Str-63	K08473
C17E7.11	Str-229	K08473
C17E7.2	Srh-190	K08473
C18B10.7	Str-190	K08473
C18B10.8	Srh-125	K08473
C24B9.1	Str-33	K08473
C24B9.8	Str-13	K08473
C24H11.4	Srd-74	K08473
C27A7.7	Srj-4	K08473
C31A11.9	Str-214	K08473
C31B8.13	Srh-247	K08473
C31B8.6	Str-46	K08473
C32B5.2	Srh-274	K08473
C34D4.8	Str-48	K08473
C39B5.11	Srd-67	K08473
C39B5.12	Srd-65	K08473
C39H7.6	Srd-12	K08473
C39H7.7	Srd-13	K08473
C42D4.4	Str-44	K08473
C42D4.5	Str-1	K08473
C42D4.9	Str-220	K08473
C43D7.6	Srh-208	K08473
C44C3.9	Srh-88	K08473
C45B11.4	Srh-74	K08473
C45H4.12	Str-52	K08473
C45H4.15	Str-255	K08473
C46E10.10	Srh-100	K08473
C46E10.7	Srh-99	K08473
C47A10.10	Srh-289	K08473
C47A10.2	Srh-283	K08473
C47A10.3	Srh-284	K08473
C47A10.9	Srh-287	K08473
C47E8.2	Srh-17	K08473
C49D10.3	Srh-250	K08473
C50B6.10	Str-4	K08473
C50B6.12	Str-37	K08473
C50B6.5	Srh-18	K08473
C50B6.6	Srh-15	K08473
C50C10.6	Str-193	K08473
C50C10.7	Str-2	K08473
C50H11.12	Str-40	K08473
C50H11.7	Srh-185	K08473
C50H11.9	Str-244	K08473
C53B7.5	Odr-10	K08473
C54D10.6	Srh-25	K08473
C54F6.1	Srh-268	K08473
C54F6.10	Str-31	K08473
C55A1.3	Str-248	K08473
C55A1.5	Str-23	K08473
D1054.12	Srh-184	K08473
D1065.5	Srh-211	K08473
D2062.8	Sri-38	K08473
DC2.1	Srh-80	K08473
DC2.2	Srh-78	K08473
E03D2.3	Srh-204	K08473
E03H12.1	Str-162	K08473
E04F6.1	Srd-59	K08473
E04F6.13	Srd-58	K08473
E04F6.14	Srd-56	K08473
F07B10.2	Str-116	K08473
F07B10.3	Str-115	K08473
F07C4.1	Str-47	K08473
F07C4.13	Srh-200	K08473
F07C4.14	Srh-234	K08473
F07C4.3	Srd-29	K08473
F07C4.4	Srd-25	K08473
F07C4.5	Srd-30	K08473
F07C4.8	Srd-31	K08473
F07G11.5	Srj-32	K08473
F08E10.1	Srh-235	K08473
F08E10.3	Srh-123	K08473
F09C6.7	Srd-68	K08473
F09G2.7	Srh-83	K08473
F10A3.13	Str-108	K08473
F10A3.15	Str-111	K08473
F10A3.5	Str-109	K08473
F10A3.6	Str-99	K08473
F10A3.8	Str-97	K08473
F10A3.9	Str-254	K08473
F10D2.1	Str-204	K08473
F10D2.4	Str-112	K08473
F10G2.8	Srh-187	K08473
F11A5.2	Srh-279	K08473
F13A7.2	Srd-63	K08473
F13G3.2	Srd-53	K08473
F14F8.1	Str-61	K08473
F14F9.7	Srh-129	K08473
F14H3.1	Srj-10	K08473
F15A2.3	Srd-51	K08473
F15A2.4	Srd-50	K08473
F15H9.3	Sri-17	K08473
F15H9.4	Sri-16	K08473
F17A2.10	Srd-46	K08473
F17A2.11	Srd-47	K08473
F17A2.12	Srd-40	K08473
F17A2.6	Srd-41	K08473
F17A2.7	Srd-45	K08473
F17A2.8	Srd-44	K08473
F17A2.9	Srd-48	K08473
F19G12.5	Srh-19	K08473
F20E11.10	Srh-203	K08473
F20E11.12	Srh-154	K08473
F20E11.4	Str-200	K08473
F21A3.1	Srh-276	K08473
F21F8.10	Str-135	K08473
F21F8.9	Str-136	K08473
F21H7.11	Srh-95	K08473
F22B8.1	Srj-29	K08473
F22B8.5	Str-7	K08473
F22E5.4	Sri-47	K08473
F25E5.12	Str-28	K08473
F25E5.14	Srh-89	K08473
F26D10.8	Str-187	K08473
F26D2.1	Str-73	K08473
F26D2.4	Srh-145	K08473
F26D2.7	Str-55	K08473
F26G5.2	Str-208	K08473
F26G5.4	Str-207	K08473
F26G5.5	Str-209	K08473
F28H7.1	Srj-22	K08473
F28H7.11	Srj-21	K08473
F31F4.16	Srj-5	K08473
F31F4.18	Srh-246	K08473
F31F4.6	Srh-266	K08473
F31F4.8	Srj-6	K08473
F31F4.9	Srh-245	K08473
F32A7.7	Str-245	K08473
F32G8.1	Srd-34	K08473
F33H1.5	Srd-1	K08473
F33H12.2	Sri-39	K08473
F36G9.2	Srh-186	K08473
F36G9.8	Sri-1	K08473
F36G9.9	Sri-2	K08473
F37B4.1	Srh-127	K08473
F37B4.11	Srj-54	K08473
F37B4.12	Str-39	K08473
F37B4.13	Srh-240	K08473
F37B4.3	Srh-243	K08473
F37B4.4	Srh-272	K08473
F37B4.5	Srh-270	K08473
F37B4.6	Srh-241	K08473
F38H12.1	Srj-39	K08473
F38H12.2	Srj-40	K08473
F40D4.1	Srh-174	K08473
F40D4.2	Srh-155	K08473
F40D4.3	Srh-159	K08473
F40F9.4	Str-188	K08473
F41B5.8	Str-253	K08473
F44G3.1	Str-103	K08473
F44G3.11	Str-25	K08473
F47B8.12	Srm-5	K08473
F47B8.7	Srm-4	K08473
F47C12.10	Srh-222	K08473
F47C12.3	Srh-223	K08473
F47C12.5	Srh-220	K08473
F47D2.9	Srh-193	K08473
F47G9.2	Str-141	K08473
F48F5.4	Srd-70	K08473
F48G7.1	Srj-37	K08473
F49C5.6	Str-223	K08473
F53F1.10	Srd-18	K08473
F53F1.11	Srd-19	K08473
F53F4.9	Srd-11	K08473
F55B12.6	Str-165	K08473
F55C5.9	Srh-16	K08473
F57A10.1	Str-9	K08473
F57A8.3	Str-118	K08473
F57G8.1	Srh-180	K08473
F58G4.2	Str-90	K08473
F58G4.5	Str-129	K08473
F58G4.6	Str-146	K08473
F58G4.7	Str-145	K08473
F58G6.2	Srm-3	K08473
F59A1.14	Str-93	K08473
F59A1.3	Str-92	K08473
F59A1.4	Str-89	K08473
F59B1.1	Str-114	K08473
F59E11.13	Str-84	K08473
F59E11.14	Str-86	K08473
F59E11.15	Str-85	K08473
F59E11.16	Str-87	K08473
H04J21.2	Srd-69	K08473
H05B21.2	Srh-248	K08473
H27D07.6	Srh-87	K08473
K02A2.2	Srd-55	K08473
K02E2.3	Srh-177	K08473
K02H11.2	Str-240	K08473
K02H11.3	Str-236	K08473
K02H11.7	Str-243	K08473
K04F1.16	Srh-5	K08473
K04F1.5	Srh-3	K08473
K05D4.2	Str-106	K08473
K05D4.6	Srh-277	K08473
