Dmel_CG17759	GalPha49b	K04634
Dmel_CG8881	SkpB	K03094
Dmel_CG3412	SlmB	K03362
Dmel_CG9144	Fbw5	K10263
Dmel_CG15010	Ago	K10260
Dmel_CG1839	FbxL4	K10270
Dmel_CG13213	Fbl6	K10272
Dmel_CG9952	Ppa	K10280
Dmel_CG8873	Jet	K10281
Dmel_CG3428	PalL	K10306
Dmel_CG4643	Fsn	K10319
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG1512	Cul-2	K03870
Dmel_CG9291	EloNgin-c	K03872
Dmel_CG4204	EloNgin-b	K03873
Dmel_CG13221	Vhl	K03871
Dmel_CG6098	Lrr47	K10348
Dmel_CG9025	Fem-1	K10349
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG42616	Cul-3	K03869
Dmel_CG7210	Kel	K10443
Dmel_CG12423	KlhL10	K10448
Dmel_CG3571	KlhL18	K10455
Dmel_CG3962	KeaP1	K10456
Dmel_CG6224	Dbo	K10457
Dmel_CG8411	Gcl	K10485
Dmel_CG5701	RhoBtb	K07868
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG8711	Cul-4	K10609
Dmel_CG7769	Pic	K10610
Dmel_CG6093	Abo	K10571
Dmel_CG11295	L(2)dtl	K11790
Dmel_CG31132	BrwD3	K11798
Dmel_CG5124	Adp	K11807
Dmel_CG8998	Roc2	K10611
Dmel_CG1401	Cul-5	K10612
Dmel_CG9291	EloNgin-c	K03872
Dmel_CG4204	EloNgin-b	K03873
Dmel_CG31006	StoPs	K10339
Dmel_CG2944	Gus	K10343
Dmel_CG1900	Rab40	K07928
Dmel_CG16982	Roc1a	K03868
Dmel_CG16988	Roc1b	K03868
Dmel_CG11941	SkpC	K03094
Dmel_CG11942	SkpE	K03094
Dmel_CG12227	SkpF	K03094
Dmel_CG12700	SkpD	K03094
Dmel_CG16983	SkpA	K03094
Dmel_CG8881	SkpB	K03094
Dmel_CG34440	Lmg	K03358
Dmel_CG3060	Mr	K03349
Dmel_CG4274	Fzy	K03363
Dmel_CG16783	Fzr2	K03364
Dmel_CG3000	Rap	K03364
Dmel_CG9198	ShtD	K03348
Dmel_CG8610	Cdc27	K03350
Dmel_CG32707	Apc4	K03351
Dmel_CG10850	Ida	K03352
Dmel_CG6759	Cdc16	K03353
Dmel_CG14444	Apc7	K03354
Dmel_CG2508	Cdc23	K03355
Dmel_CG7948	Spn-a	K04482
Dmel_CG4265	Uch	K05609
Dmel_CG3431	Uch-l3	K05610
Dmel_CG5603	CylD	K08601
Dmel_CG1490	Usp7	K11838
Dmel_CG1945	Faf	K11840
Dmel_CG4166	Not	K11366
Dmel_CG5505	Usp36	K11855
Dmel_CG5486	Ubp64e	K11857
Dmel_CG9448	TrbD	K11862
Dmel_CG18174	Rpn11	K03030
Dmel_CG8493	Den1	K08597
Dmel_CG4265	Uch	K05609
Dmel_CG3889	Csn1b	K12175
Dmel_CG9556	AliEn	K12176
Dmel_CG18332	Csn3	K12177
Dmel_CG8725	Csn4	K12178
Dmel_CG14884	Csn5	K09613
Dmel_CG6932	Csn6	K12179
Dmel_CG2038	Csn7	K12180
Dmel_CG42522	Csn8	K12181
Dmel_CG11956	Sp1029	K11140
Dmel_CG1560	Mys	K05719
Dmel_CG3665	Fas2	K06491
Dmel_CG18817	Tsp42ea	K06497
Dmel_CG8666	Tsp39d	K06497
Dmel_CG9494	Tsp29fa	K06497
Dmel_CG4827	VeiL	K01081
Dmel_CG6120	Tsp96f	K06508
Dmel_CG2791	Cd98hc	K06519
Dmel_CG7052	TepIi	K06530
Dmel_CG10497	Sdc	K06257
Dmel_CG10142	AncE-5	K01283
Dmel_CG10593	AceR	K01283
Dmel_CG16869	AncE-2	K01283
Dmel_CG17988	AncE-3	K01283
Dmel_CG8196	AncE-4	K01283
Dmel_CG8827	AncE	K01283
Dmel_CG7908	TacE	K06059
Dmel_CG1964	Kul	K06704
Dmel_CG7147	Kuz	K06704
Dmel_CG16707	Vsg	K06546
Dmel_CG31072	LerP	K06564
Dmel_CG8523	Mdr50	K05658
Dmel_CG8250	Alk	K05119
Dmel_CG8663	Nrv3	K01540
Dmel_CG9258	Nrv1	K01540
Dmel_CG9261	Nrv2	K01540
Dmel_CG32134	Btl	K05093
Dmel_CG7223	Htl	K05094
Dmel_CG6127	Ser	K06052
Dmel_CG33338	P38C	K04441
Dmel_CG5475	Mpk2	K04441
Dmel_CG7393	P38B	K04441
Dmel_CG3936	N	K02599
Dmel_CG31136	Syx1a	K04560
Dmel_CG2715	Syx4	K08486
Dmel_CG5081	Syx7	K08488
Dmel_CG1467	Syx16	K08489
Dmel_CG4214	Syx5	K08490
Dmel_CG7452	Syx17	K08491
Dmel_CG13626	Syx18	K08492
Dmel_CG31232	KokO	K08493
Dmel_CG3279	Vti1	K08493
Dmel_CG7700	Gos28	K08495
Dmel_CG4780	MemBrin	K08496
Dmel_CG7736	Syx6	K08498
Dmel_CG4109	Syx8	K08501
Dmel_CG14084	Bet1	K08504
Dmel_CG14181	Use1	K08507
Dmel_CG40452	SnaP25	K08508
Dmel_CG9474	SnaP24	K08508
Dmel_CG11173	UsnP	K08509
Dmel_CG17248	N-sYb	K13504
Dmel_CG1515	Ykt6	K08516
Dmel_CG7359	Sec22	K08517
Dmel_CG17762	TomOsyn	K08518
Dmel_CG18023	Eip78c	K08701
Dmel_CG8127	Eip75b	K08701
Dmel_CG33183	Hr46	K14033
Dmel_CG1765	Ecr	K14034
Dmel_CG11783	Hr96	K14035
Dmel_CG9310	Hnf4	K08704
Dmel_CG9019	Dsf	K07295
Dmel_CG4380	Usp	K14030
Dmel_CG7199	Hr78	K14031
Dmel_CG1378	Tll	K08545
Dmel_CG16801	Hr51	K08546
Dmel_CG11502	Svp	K14032
Dmel_CG7404	Err	K08703
Dmel_CG1864	Hr38	K08558
Dmel_CG4059	Ftz-f1	K08705
Dmel_CG8676	Hr39	K08705
Dmel_CG16902	Hr4	K09185
Dmel_CG4717	Kni	K08706
Dmel_CG4761	KnrL	K08706
Dmel_CG7383	Eg	K08706
Dmel_CG3665	Fas2	K06491
Dmel_CG3665	Fas2	K06491
Dmel_CG3665	Fas2	K06491
Dmel_CG3665	Fas2	K06491
Dmel_CG3665	Fas2	K06491
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG3665	Fas2	K06491
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG10497	Sdc	K06257
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG10497	Sdc	K06257
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG10497	Sdc	K06257
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG3665	Fas2	K06491
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG32134	Btl	K05093
Dmel_CG7223	Htl	K05094
Dmel_CG10497	Sdc	K06257
Dmel_CG10497	Sdc	K06257
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG3665	Fas2	K06491
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG17245	PleXb	K06821
Dmel_CG17245	PleXb	K06821
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG3665	Fas2	K06491
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG1560	Mys	K05719
Dmel_CG12389	FppS	K00787
Dmel_CG8593	Qm	K00804
Dmel_CG9613	Coq2	K06125
Dmel_CG3469	BetAggt-i	K11713
Dmel_CG3073	L(1)g0144	K14137
Dmel_CG12066	Pka-c2	K04345
Dmel_CG4379	Pka-c1	K04345
Dmel_CG6117	Pka-c3	K04345
Dmel_CG10033	For	K07376
Dmel_CG3324	Pkg21d	K07376
Dmel_CG10261	ApkC	K06069
Dmel_CG6518	InaC	K02677
Dmel_CG6622	Pkc53e	K02677
Dmel_CG1954	Pkc98e	K06068
Dmel_CG42349	PkcDelta	K06068
Dmel_CG4006	Akt1	K04456
Dmel_CG9774	Rok	K04514
Dmel_CG40129	GprK1	K00910
Dmel_CG17998	GprK2	K08291
Dmel_CG8637	Trc	K08790
Dmel_CG12072	Wts	K08791
Dmel_CG1210	Pk61c	K06276
Dmel_CG2049	Pkn	K06071
Dmel_CG17596	S6kIi	K04373
Dmel_CG10539	S6k	K04688
Dmel_CG1495	CamKi	K08794
Dmel_CG18069	CamKii	K04515
Dmel_CG17161	Grp	K02216
Dmel_CG3051	Snf1a	K07198
Dmel_CG9374	Lkb1	K07298
Dmel_CG3086	MapK-ak2	K04443
Dmel_CG18255	StrN-mlck	K00907
Dmel_CG1830	PhkGamma	K00871
Dmel_CG7125	Pkd	K06070
Dmel_CG10895	Lok	K06641
Dmel_CG18214	TriO	K08810
Dmel_CG6703	CakI	K06103
Dmel_CG5408	TrbL	K08814
Dmel_CG2028	CkiAlpha	K08957
Dmel_CG2048	Dco	K02218
Dmel_CG6963	GisH	K02218
Dmel_CG17520	CkiIalpha	K03097
Dmel_CG11533	AsaTor	K08815
Dmel_CG6386	BalL	K08816
Dmel_CG4268	PitSlre	K08818
Dmel_CG5363	Cdc2	K02087
Dmel_CG5072	Cdk4	K02089
Dmel_CG8203	Cdk5	K02090
Dmel_CG3319	Cdk7	K02202
Dmel_CG10572	Cdk8	K02208
Dmel_CG5179	Cdk9	K02211
Dmel_CG10498	Cdc2c	K07760
Dmel_CG10579	Eip63e	K08820
Dmel_CG12559	Rl	K04371
Dmel_CG5680	Bsk	K04440
Dmel_CG33338	P38C	K04441
Dmel_CG5475	Mpk2	K04441
Dmel_CG7393	P38B	K04441
Dmel_CG7892	Nmo	K04468
Dmel_CG2621	Sgg	K03083
Dmel_CG40478	DyrK3	K08825
Dmel_CG4551	Smi35a	K08825
Dmel_CG17090	HipK	K08826
Dmel_CG8174	SrpK	K08831
Dmel_CG15793	DsoR1	K04368
Dmel_CG12244	Lic	K04432
Dmel_CG9738	Mkk4	K04430
Dmel_CG4353	Hep	K04431
Dmel_CG5125	NinAc	K08834
Dmel_CG10295	Pak	K04409
Dmel_CG4527	SliK	K08836
Dmel_CG14217	Tao-1	K04429
Dmel_CG4720	Pk92b	K04426
Dmel_CG1848	LimK1	K05743
Dmel_CG18492	Tak1	K04427
Dmel_CG8789	Wnd	K04422
Dmel_CG1891	Sax	K13595
Dmel_CG14026	Tkv	K13579
Dmel_CG8224	BabO	K13569
Dmel_CG7904	Put	K13597
Dmel_CG16987	Daw	K04669
Dmel_CG31695	Scw	K04669
Dmel_CG10504	Ilk	K06272
Dmel_CG3068	Aur	K11481
Dmel_CG6620	Ial	K08850
Dmel_CG14030	Bub1	K02178
Dmel_CG7838	BubR1	K02178
Dmel_CG32742	L(1)g0148	K02214
Dmel_CG17520	CkiIalpha	K03097
Dmel_CG4201	Ird5	K07209
Dmel_CG2615	Ik2	K05410
Dmel_CG4583	Ire-1	K08852
Dmel_CG10951	NikI	K08857
Dmel_CG17256	Nek2	K08857
Dmel_CG1609	Gcn2	K08860
Dmel_CG2087	Pek	K08860
Dmel_CG12306	PolO	K06631
Dmel_CG7186	Sak	K08863
Dmel_CG7643	Ald	K08866
Dmel_CG6551	Fu	K06228
Dmel_CG10967	Atg1	K08269
Dmel_CG9746	Ird1	K08333
Dmel_CG4488	Wee	K06632
Dmel_CG8808	Pdk	K00898
Dmel_CG3172	Twf	K08870
Dmel_CG6535	TefU	K04728
Dmel_CG4252	Mei-41	K06640
Dmel_CG5092	Tor	K07203
Dmel_CG32743	Smg1	K08873
Dmel_CG33554	NipPed-a	K08874
Dmel_CG1098	MadM	K08875
Dmel_CG1973	YatA	K08876
Dmel_CG17603	Taf1	K03125
Dmel_CG5206	Bon	K08883
Dmel_CG4032	Abl	K06619
Dmel_CG42317	Csk	K05728
Dmel_CG10023	Fak56d	K05725
Dmel_CG1594	Hop	K04447
Dmel_CG7873	Src42a	K08892
Dmel_CG8049	Btk29a	K07364
Dmel_CG8250	Alk	K05119
Dmel_CG10079	EgfR	K04361
Dmel_CG1511	Eph	K05110
Dmel_CG32134	Btl	K05093
Dmel_CG7223	Htl	K05094
Dmel_CG31072	LerP	K06564
Dmel_CG18085	Sev	K05088
Dmel_CG4007	Nrk	K05129
Dmel_CG8967	Otk	K05127
Dmel_CG14396	Ret	K05126
Dmel_CG4926	Ror	K05122
Dmel_CG17348	Drl	K05128
Dmel_CG17559	Dnt	K05128
Dmel_CG8222	Pvr	K05096
Dmel_CG11466	Cyp9f2	K07424
Dmel_CG1438	Cyp4c3	K07427
Dmel_CG17336	LccH3	K05270
Dmel_CG15627	Ir25a	K05313
Dmel_CG18039	KaiRia	K05313
Dmel_CG31201	GluRiie	K05313
Dmel_CG32704	Ir8A	K05313
Dmel_CG4226	GluRiic	K05313
Dmel_CG4481	Glu-rib	K05313
Dmel_CG6992	GluRiia	K05313
Dmel_CG8442	Glu-ri	K05313
Dmel_CG2902	NmdAr1	K05208
Dmel_CG33513	NmdAr2	K05314
Dmel_CG9907	ParA	K05388
Dmel_CG12295	Stj	K05316
Dmel_CG42403	Ca-Beta	K05317
Dmel_CG12348	Sh	K05318
Dmel_CG2822	ShaW	K05320
Dmel_CG9262	ShaL	K05321
Dmel_CG10952	Eag	K05322
Dmel_CG3182	Sei	K05322
Dmel_CG9637	TasK6	K05323
Dmel_CG33135	KcnQ	K05324
Dmel_CG10693	Slo	K04936
Dmel_CG7779	Cng	K05326
Dmel_CG1063	Itp-r83a	K02522
Dmel_CG10844	Rya-r44f	K05327
Dmel_CG5996	TrpGamma	K05328
Dmel_CG7875	Trp	K05328
Dmel_CG18345	TrpL	K13803
Dmel_CG5751	TrpA1	K04984
Dmel_CG6504	Pkd2	K04986
Dmel_CG4924	IclN	K05019
Dmel_CG8380	Dat	K05036
Dmel_CG4545	SerT	K05037
Dmel_CG3252	NaaT1	K05336
Dmel_CG12251	Aqp	K09884
Dmel_CG9023	DriP	K09884
Dmel_CG7842	Beg	K00645
Dmel_CG10849	Sc2	K10258
Dmel_CG12108	Ppt1	K01074
Dmel_CG4851	Ppt2	K01074
Dmel_CG5887	DesAt1	K00507
Dmel_CG5925	DesAt2	K00507
Dmel_CG7923	Fad2	K00507
Dmel_CG9078	Ifc	K04712
Dmel_CG11801	Elo68beta	K10249
Dmel_CG9390	AccOas	K01895
Dmel_CG8732	L(2)44dea	K01897
Dmel_CG7400	FatP	K08745
Dmel_CG13401	U26	K00142
Dmel_CG8766	Taz	K13511
Dmel_CG9655	Nes	K13515
Dmel_CG3001	Hex-a	K00844
Dmel_CG32849	Hex-t2	K00844
Dmel_CG33102	Hex-t1	K00844
Dmel_CG8094	Hex-c	K00844
Dmel_CG8251	Pgi	K01810
Dmel_CG4001	Pfk	K00850
Dmel_CG31692	Fbp	K03841
Dmel_CG6058	Ald	K01623
Dmel_CG2171	Tpi	K01803
Dmel_CG12055	GapDh1	K00134
Dmel_CG8893	GapDh2	K00134
Dmel_CG3127	Pgk	K00927
Dmel_CG1721	PglYm78	K01834
Dmel_CG17645	PglYm87	K01834
Dmel_CG17654	Eno	K01689
Dmel_CG7070	Pyk	K00873
Dmel_CG7010	L(1)g0334	K00161
Dmel_CG10160	ImpL3	K00016
Dmel_CG6598	Fdh	K00121
Dmel_CG3481	Adh	K00001
Dmel_CG3752	AldH	K00128
Dmel_CG11140	AldH-iii	K00129
Dmel_CG9390	AccOas	K01895
Dmel_CG5165	Pgm	K01835
Dmel_CG17725	PepCk	K01596
Dmel_CG3861	Kdn	K01647
Dmel_CG8322	AtpCl	K01648
Dmel_CG4900	Irp-1a	K01681
Dmel_CG6342	Irp-1b	K01681
Dmel_CG9244	AcoN	K01681
Dmel_CG7176	Idh	K00031
Dmel_CG12233	L(1)g0156	K00030
Dmel_CG11661	Nc73ef	K00164
Dmel_CG1065	ScsAlpha	K01899
Dmel_CG10622	SucB	K01900
Dmel_CG11963	SkaP	K01900
Dmel_CG17246	Scs-fp	K00234
Dmel_CG3283	SdhB	K00235
Dmel_CG6666	SdhC	K00236
Dmel_CG4094	L(1)g0255	K01679
Dmel_CG17725	PepCk	K01596
Dmel_CG7010	L(1)g0334	K00161
Dmel_CG8251	Pgi	K01810
Dmel_CG12529	Zw	K00036
Dmel_CG3724	Pgd	K00033
Dmel_CG2827	Tal	K00616
Dmel_CG5165	Pgm	K01835
Dmel_CG6058	Ald	K01623
Dmel_CG4001	Pfk	K00850
Dmel_CG31692	Fbp	K03841
Dmel_CG11012	Ugt37a1	K00699
Dmel_CG13270	Ugt36ba	K00699
Dmel_CG13271	Ugt36bb	K00699
Dmel_CG15902	Ugt86dj	K00699
Dmel_CG17200	Ugt86dg	K00699
Dmel_CG17932	Ugt36bc	K00699
Dmel_CG4414	Ugt58fa	K00699
Dmel_CG4772	Ugt86dh	K00699
Dmel_CG6633	Ugt86dd	K00699
Dmel_CG6644	Ugt35a	K00699
Dmel_CG6649	Ugt35b	K00699
Dmel_CG6653	Ugt86de	K00699
Dmel_CG6658	Ugt86di	K00699
Dmel_CG8652	Ugt37c1	K00699
Dmel_CG9481	Ugt37b1	K00699
Dmel_CG10072	Sgl	K00012
Dmel_CG4347	Ugp	K00963
Dmel_CG3752	AldH	K00128
Dmel_CG8073	Pmm45a	K01840
Dmel_CG8890	Gmd	K01711
Dmel_CG3495	GmeR	K02377
Dmel_CG3001	Hex-a	K00844
Dmel_CG32849	Hex-t2	K00844
Dmel_CG33102	Hex-t1	K00844
Dmel_CG8094	Hex-c	K00844
Dmel_CG4001	Pfk	K00850
Dmel_CG31692	Fbp	K03841
Dmel_CG3400	PfrX	K00900
Dmel_CG1982	SodH-1	K00008
Dmel_CG4649	SodH-2	K00008
Dmel_CG6058	Ald	K01623
Dmel_CG2171	Tpi	K01803
Dmel_CG4347	Ugp	K00963
Dmel_CG5165	Pgm	K01835
Dmel_CG3001	Hex-a	K00844
Dmel_CG32849	Hex-t2	K00844
Dmel_CG33102	Hex-t1	K00844
Dmel_CG8094	Hex-c	K00844
Dmel_CG3132	Ect3	K12309
Dmel_CG9092	Gal	K12309
Dmel_CG4001	Pfk	K00850
Dmel_CG8694	LvpD	K01187
Dmel_CG8695	LvpL	K01187
Dmel_CG8696	LvpH	K01187
Dmel_CG10072	Sgl	K00012
