Q09161	NcbP1	K12882
P62310	Lsm3	K12622
Q9Y4Z0	Lsm4	K12623
Q9Y4Y9	Lsm5	K12624
P62312	Lsm6	K12625
Q4W5J5	Lsm6	K12625
Q9UK45	Lsm7	K12626
O95777	Naa38	K12627
A4D0W0	Naa38	K12627
O43395	PrpF3	K12843
O43172	PrpF4	K12662
O43447	PpiH	K09567
Q6FH36	PpiH	K09567
Q8WWY3	PrpF31	K12844
F1T0A5	PrpF31	K12844
P55769	Nhp2l1	K12845
Q6FHM6	Nhp2l1	K12845
Q15029	EftUd2	K12852
B4DK30	EftUd2	K12852
B3KX19	EftUd2	K12852
O94906	PrpF6	K12855
Q6P2Q9	PrpF8	K12856
Q96DI7	SnrNp40	K12857
A0MNP2	SnrNp40	K12857
O75643	SnrNp200	K12854
Q9BUQ8	Ddx23	K12858
B3KY11	Ddx23	K12858
P83876	TxnL4a	K12859
O95400	Cd2Bp2	K13099
O43290	SarT1	K11984
Q53GS9	Usp39	K12847
A8K513	SnrNp27	K12846
Q8WVK2	SnrNp27	K12846
Q96NC0	ZmaT2	K12848
Q8NAV1	PrpF38a	K12849
Q5VTL8	PrpF38b	K12850
Q69YH0	PrpF38b	K12850
Q9HCG8	Cwc22	K13100
Q5SQH4	Dhx16	K12813
O60231	Dhx16	K12813
B4DZ28	Dhx16	K12813
Q92917	GpkOw	K13101
P04792	HspB1	K04455
O60870	Kin	K13102
Q13356	PpiL2	K10598
Q3MHC9	SkiV2l2	K12598
P42285	SkiV2l2	K12598
Q96NB3	Znf830	K13104
Q9UMS4	PrpF19	K10599
Q99459	Cdc5l	K12860
B2R7W3	BcaS2	K12861
O75934	BcaS2	K12861
O43660	PlrG1	K12862
Q9P013	Cwc15	K12863
Q8WYA6	CtnNbl1	K12864
B3KTT5	HspA1a	K03283
P08107	HspA1a	K03283
A8K5I0	HspA1a	K03283
P08107	HspA1b	K03283
A8K5I0	HspA1b	K03283
P34931	HspA1l	K03283
P54652	HspA2	K03283
P17066	HspA6	K03283
P11142	HspA8	K03283
Q53HF2	HspA8	K03283
O60828	PqbP1	K12865
Q9Y2W2	Wbp11	K12866
Q13573	Snw1	K06063
Q9HCS7	Xab2	K12867
O95926	Syf2	K12868
Q9BZJ0	CrnKl1	K12869
O60306	Aqr	K12874
P41223	Bud31	K12873
Q8WUD4	CcdC12	K12871
Q9ULR0	Isy1	K12870
Q3S611	PpiE	K09564
Q9UNP9	PpiE	K09564
Q5TGA3	PpiE	K09564
Q9Y3C6	PpiL1	K12733
Q96FT4	PrcC	K13105
Q92733	PrcC	K13105
Q9NW64	Rbm22	K12872
Q9BRD0	Bud13	K13106
Q9Y388	RbmX2	K13107
Q05DU0	RbmX2	K13107
B1AK66	SniP1	K13108
Q8TAD8	SniP1	K13108
Q13123	Ik	K13109
Q9UK43	Ik	K13109
Q95HA6	Ik	K13109
P55081	MfaP1	K13110
Q2TAY7	Smu1	K13111
A0MNN4	Smu1	K13111
Q9Y2W1	ThrAp3	K13112
Q9BZL1	Ubl5	K13113
P14678	SnrPb	K11086
Q66K91	SnrPb	K11086
P62314	SnrPd1	K11087
P62316	SnrPd2	K11096
P62318	SnrPd3	K11088
P62304	SnrPe	K11097
P62306	SnrPf	K11098
P62308	SnrPg	K11099
Q6FGG1	Lsm2	K12621
Q9Y333	Lsm2	K12621
P62310	Lsm3	K12622
P09661	SnrPa1	K11092
P08579	SnrPb2	K11094
Q15459	Sf3A1	K12825
E9PAW1	Sf3A1	K12825
Q15428	Sf3A2	K12826
Q05DF2	Sf3A2	K12826
Q12874	Sf3A3	K12827
B3KY12	Sf3A3	K12827
A0JLT9	Sf3B1	K12828
O75533	Sf3B1	K12828
Q7Z497	Sf3B1	K12828
E9PCH3	Sf3B1	K12828
Q13435	Sf3B2	K12829
Q15393	Sf3B3	K12830
A8K6V3	Sf3B3	K12830
Q15427	Sf3B4	K12831
B3KUJ0	Sf3B4	K12831
Q9BWJ5	Sf3B5	K12832
Q9Y3B4	Sf3B14	K12833
Q53TM1	Sf3B14	K12833
Q86XP3	Ddx42	K12835
Q7RTV0	Phf5a	K12834
P14678	SnrPb	K11086
Q66K91	SnrPb	K11086
P62314	SnrPd1	K11087
P62316	SnrPd2	K11096
P62318	SnrPd3	K11088
P62304	SnrPe	K11097
P62306	SnrPf	K11098
P62308	SnrPg	K11099
Q15029	EftUd2	K12852
B4DK30	EftUd2	K12852
B3KX19	EftUd2	K12852
O75643	SnrNp200	K12854
O94906	PrpF6	K12855
Q6P2Q9	PrpF8	K12856
Q96DI7	SnrNp40	K12857
A0MNP2	SnrNp40	K12857
Q9BUQ8	Ddx23	K12858
B3KY11	Ddx23	K12858
O43290	SarT1	K11984
Q96NC0	ZmaT2	K12848
Q8NAV1	PrpF38a	K12849
Q5VTL8	PrpF38b	K12850
Q69YH0	PrpF38b	K12850
Q9HCG8	Cwc22	K13100
Q5SQH4	Dhx16	K12813
O60231	Dhx16	K12813
B4DZ28	Dhx16	K12813
Q92917	GpkOw	K13101
P04792	HspB1	K04455
O60870	Kin	K13102
Q13356	PpiL2	K10598
Q3MHC9	SkiV2l2	K12598
P42285	SkiV2l2	K12598
Q96NB3	Znf830	K13104
O43143	Dhx15	K12820
Q9UBB9	TfiP11	K13103
Q9UMS4	PrpF19	K10599
Q99459	Cdc5l	K12860
B2R7W3	BcaS2	K12861
O75934	BcaS2	K12861
Q8WYA6	CtnNbl1	K12864
Q9P013	Cwc15	K12863
O43660	PlrG1	K12862
B3KTT5	HspA1a	K03283
P08107	HspA1a	K03283
A8K5I0	HspA1a	K03283
P08107	HspA1b	K03283
A8K5I0	HspA1b	K03283
P34931	HspA1l	K03283
P54652	HspA2	K03283
P17066	HspA6	K03283
P11142	HspA8	K03283
Q53HF2	HspA8	K03283
Q13573	Snw1	K06063
Q9HCS7	Xab2	K12867
O95926	Syf2	K12868
Q9BZJ0	CrnKl1	K12869
O60306	Aqr	K12874
P41223	Bud31	K12873
Q8WUD4	CcdC12	K12871
Q9ULR0	Isy1	K12870
Q9Y3C6	PpiL1	K12733
Q3S611	PpiE	K09564
Q9UNP9	PpiE	K09564
Q5TGA3	PpiE	K09564
Q9NW64	Rbm22	K12872
Q9BRD0	Bud13	K13106
Q9Y388	RbmX2	K13107
Q05DU0	RbmX2	K13107
B1AK66	SniP1	K13108
Q8TAD8	SniP1	K13108
B4DQZ7	AciN1	K12875
Q9UKV3	AciN1	K12875
B2RTT4	AciN1	K12875
Q13838	Bat1	K12812
P38919	Eif4a3	K13025
P61326	MagOh	K12877
Q96A72	MagOhb	K12877
Q9H307	Pnn	K13114
Q9Y5S9	Rbm8a	K12876
Q96FV9	ThoC1	K12878
Q8NI27	ThoC2	K12879
Q96J01	ThoC3	K12880
E9PB61	ThoC4	K12881
Q86V81	ThoC4	K12881
O60508	Cdc40	K12816
Q99633	PrpF18	K12817
O95391	Slu7	K12819
Q14562	Dhx8	K12818
Q92620	Dhx38	K12815
Q9H2H8	PpiL3	K12734
Q8WUA2	PpiL4	K12735
Q13427	PpiG	K09566
Q96BP3	PpwD1	K12736
Q6UX04	Cwc27	K12737
P13994	CcdC130	K13115
Q9UJV9	Ddx41	K13116
Q9H5Z1	Dhx35	K13117
F5GXM6	Dhx35	K13117
Q96DF8	DgcR14	K13118
Q9Y247	Fam50b	K13119
Q14320	Fam50a	K13119
Q9Y421	Fam32a	K13120
Q70Z53	Fra10ac1	K13121
Q14331	Frg1	K13122
Q9BRR8	GpaTch1	K13123
Q9BRX9	Wdr83	K13124
Q9Y314	NosIp	K13125
P11940	PabPc1	K13126
O15541	Rnf113a	K13127
Q9UBB9	TfiP11	K13103
Q6NZY4	ZccHc8	K13128
Q16637	Smn1	K13129
Q16637	Smn2	K13129
O14893	Sip1	K13130
Q9UHI6	Ddx20	K13131
Q9H4N4	Ddx20	K13131
P57678	GemIn4	K13132
Q8WUM5	GemIn4	K13132
Q58EZ8	GemIn5	K13133
Q8TEQ6	GemIn5	K13133
Q8WXD5	GemIn6	K13134
Q9H840	GemIn7	K13135
Q9NWZ8	GemIn8	K13136
Q9Y3F4	StrAp	K13137
Q8N201	IntS1	K13138
Q9H0H0	IntS2	K13139
Q68E01	IntS3	K13140
Q96HW7	IntS4	K13141
Q6P9B9	IntS5	K13142
Q9UL03	IntS6	K13143
Q9NVH2	IntS7	K13144
B4DLZ6	IntS7	K13144
Q75QN2	IntS8	K13145
B7Z6M5	IntS9	K13146
Q9NV88	IntS9	K13146
B7Z560	IntS9	K13146
Q9NVR2	IntS10	K13147
Q5TA45	CpsF3l	K13148
B3KPR3	CpsF3l	K13148
Q96CB8	IntS12	K13149
P38432	CoiL	K13150
O75940	SmnDc1	K12839
O95149	SnuPn	K13151
Q9UDW3	ZmaT5	K13152
Q9BV90	SnrNp25	K13153
Q8TBF4	ZcrB1	K13154
Q16560	SnrNp35	K13155
Q6IEG0	SnrNp48	K13156
Q96LT9	RnpC3	K13157
Q13151	HnrNpa0	K12894
P22626	HnrNpa2b1	K13158
Q99729	HnrNpab	K13044
Q14103	HnrNpd	K13044
O14979	HnrPdl	K13044
Q53GL6	RalY	K12895
Q9UKM9	RalY	K12895
P52597	HnrNpf	K12898
P31943	HnrNph1	K12898
P55795	HnrNph2	K12898
P31942	HnrNph3	K12898
Q53F48	HnrNph3	K12898
A6NIT8	HnrNpl	K13159
P14866	HnrNpl	K13159
Q6NTA2	HnrNpl	K13159
Q8WVV9	HnrPll	K13159
A8K894	HnrPll	K13159
O60506	SynCrip	K13160
B7Z645	SynCrip	K13160
Q59GL1	SynCrip	K13160
O43390	HnrNpr	K13161
Q0VGD6	HnrNpr	K13161
Q6MZS5	HnrNpr	K13161
Q32Q82	PcbP2	K13162
Q15366	PcbP2	K13162
Q6IPF4	PcbP2	K13162
F8VYL7	PcbP2	K13162
Q59HD4	PcbP2	K13162
Q68Y55	PcbP2	K13162
A8K7X6	PcbP2	K13162
P57721	PcbP3	K13162
P57723	PcbP4	K13162
B3KWR7	Msl1	K13163
Q68DK7	Msl1	K13163
Q9HCI7	Msl2	K13164
Q8IWE6	SrsF11	K12899
Q05519	SrsF11	K12899
Q8WXA9	SreK1	K13165
B3KRJ9	SreK1	K13165
Q8IX01	SugP2	K13166
A8K5G0	SugP2	K13166
O95104	SfrS15	K13167
C9JLZ0	SfrS15	K13167
Q8N2M8	ClaSrp	K13168
Q05DA9	AkaP17a	K13169
Q02040	AkaP17a	K13169
Q8TF01	SfrS18	K13170
Q8TEZ9	SfrS18	K13170
Q8IYB3	SrrM1	K13171
Q9UQ35	SrrM2	K13172
Q9NWB6	ArgLu1	K13173
Q96FV9	ThoC1	K12878
Q8NI27	ThoC2	K12879
Q96J01	ThoC3	K12880
E9PB61	ThoC4	K12881
Q86V81	ThoC4	K12881
Q13769	ThoC5	K13174
Q86W42	ThoC6	K13175
Q6I9Y2	ThoC7	K13176
Q13838	Bat1	K12812
Q92499	Ddx1	K13177
A3RJH1	Ddx1	K13177
O00571	Ddx3x	K11594
B4E3E8	Ddx3x	K11594
O15523	Ddx3y	K11594
Q92841	Ddx17	K13178
Q59F66	Ddx17	K13178
Q9NVP1	Ddx18	K13179
Q8N254	Ddx18	K13179
Q5JSJ4	Ddx26b	K13180
Q96GQ7	Ddx27	K13181
O00148	Ddx39	K13182
Q9BQ39	Ddx50	K13183
Q08211	Dhx9	K13184
B3KU66	Dhx9	K13184
Q7L2E3	Dhx30	K13185
P98179	Rbm3	K13186
E7EQS3	Rbm4	K13187
Q9BWF3	Rbm4	K13187
B4E1U0	Rbm4	K13187
Q9BQ04	Rbm4b	K13187
Q9Y580	Rbm7	K13188
Q96PK6	Rbm14	K13189
Q2PYN1	Rbm14	K13189
Q8NDT2	Rbm15b	K13190
Q96T37	Rbm15	K13190
Q86VW9	Rbm15	K13190
Q05BU5	Rbm16	K13191
Q8NDE9	Rbm16	K13191
Q9UPN6	Rbm16	K13191
Q5T8P6	Rbm26	K13192
Q9P2N5	Rbm27	K13193
P55265	AdaR	K12968
P78563	AdaRb1	K13194
Q4AE77	AdaRb1	K13194
Q13185	Cbx3	K11586
A4D177	Cbx3	K11586
Q14011	CirBp	K13195
Q53XX5	CirBp	K13195
P16989	CsdA	K06099
Q92785	Dpf2	K13196
O00425	Igf2bp3	K13197
Q07666	KhdRbs1	K13198
Q8NC51	SerBp1	K13199
Q63HR1	SerBp1	K13199
Q5VU21	SerBp1	K13199
Q96SI9	StrBp	K13200
A8K4L9	TiaL1	K13201
Q49AS9	TiaL1	K13201
Q01085	TiaL1	K13201
Q96GM8	Toe1	K13202
Q96KR1	Zfr	K13203
Q05D65	Zfr	K13203
Q5BKZ1	Znf326	K13204
Q9Y312	C20Orf4	K13205
Q9H0G5	CcdC55	K13206
B4DFW7	Clk1	K08823
P49759	Clk1	K08823
P49760	Clk2	K08823
Q9BRG8	Clk2	K08823
P49761	Clk3	K08823
B3KRI8	Clk3	K08823
Q9HAZ1	Clk4	K08823
B4E2U5	CelF1	K13207
Q92879	CelF1	K13207
F8W940	CelF1	K13207
O95319	CelF2	K13207
E9PC62	CelF2	K13207
Q5SZQ8	CelF3	K13207
Q59G45	CelF3	K13207
Q5SZQ7	CelF3	K13207
Q9BZC1	CelF4	K13207
B4DG28	CelF6	K13207
Q96J87	CelF6	K13207
B4DJB6	CelF6	K13207
Q8N6W0	CelF5	K13207
O75061	DnaJc6	K09526
O75937	DnaJc8	K09528
O75165	DnaJc13	K09533
Q12926	ElaVl2	K13208
Q14576	ElaVl3	K13208
P26378	ElaVl4	K13208
B7Z4G7	ElaVl4	K13208
Q01844	EwsR1	K13209
Q96FE8	EwsR1	K13209
Q96MX4	EwsR1	K13209
Q96MN4	EwsR1	K13209
Q9BWA2	EwsR1	K13209
B0QYK1	EwsR1	K13209
Q92945	KhsRp	K13210
Q96AE4	FubP1	K13210
A3KFK8	FubP3	K13210
Q96I24	FubP3	K13210
Q9Y5B6	GcfC1	K13211
Q8N6E6	GcfC1	K13211
B7Z500	Luc7l2	K13212
Q9Y383	Luc7l2	K13212
B7Z4Q3	Luc7l2	K13212
P43243	MatR3	K13213
Q9H4N1	MatR3	K13213
B7ZAV5	MatR3	K13213
Q15233	NonO	K13214
F5GYZ3	NonO	K13214
B7Z4C2	NonO	K13214
Q9BQI9	NriP2	K13215
A2RRE3	NriP2	K13215
P62136	Ppp1ca	K06269
A6NNR3	Ppp1ca	K06269
Q07161	Ppp1ca	K06269
P62140	Ppp1cb	K06269
P36873	Ppp1cc	K06269
Q12972	Ppp1r8	K13216
Q5TEJ4	Ppp1r8	K13216
Q6ICT4	Ppp1r8	K13216
O14744	PrmT5	K02516
A8MZ91	PrmT5	K02516
Q13523	PrpF4b	K08827
Q86UA1	PrpF39	K13217
A6NLN1	PtbP1	K13218
P26599	PtbP1	K13218
Q9BUQ0	PtbP1	K13218
P23246	SfpQ	K13219
Q86VG2	SfpQ	K13219
B4DS61	SrpK1	K08831
Q96SB4	SrpK1	K08831
P78362	SrpK2	K08831
P12956	XrcC6	K10884
B1AHC8	XrcC6	K10884
O75554	Wbp4	K13220
Q9BQA1	Wdr77	K13221
Q75ME0	Stx1a	K04560
Q16623	Stx1a	K04560
P61266	Stx1b	K08486
P32856	Stx2	K08486
Q53YE2	Stx3	K08486
Q13277	Stx3	K08486
B4DME0	Stx3	K08486
Q12846	Stx4	K13502
Q8N4C7	Stx19	K08487
O75558	Stx11	K08487
O15400	Stx7	K08488
Q86Y82	Stx12	K13813
Q96NA8	TsnAre1	K13814
E1P5M0	Stx16	K08489
O14662	Stx16	K08489
B4DJX9	Stx16	K08489
Q6GMS8	Stx16	K08489
Q13190	Stx5	K08490
F8W8Q9	Stx5	K08490
P56962	Stx17	K08491
Q9P2W9	Stx18	K08492
Q9UEU0	Vti1b	K08493
Q96AJ9	Vti1a	K08493
Q5W0D7	Vti1a	K08493
O95249	GosR1	K08495
E9PCW1	GosR1	K08495
O14653	GosR2	K08496
Q8N4B8	GosR2	K08496
Q12981	BniP1	K08497
O43752	Stx6	K08498
O60499	Stx10	K08498
Q9UNK0	Stx8	K08501
Q53XK0	Bet1	K08504
O15155	Bet1	K08504
Q9NYM9	Bet1l	K08504
Q9NZ43	Use1	K08507
P60880	SnaP25	K08508
O00161	SnaP23	K08508
A8K287	SnaP23	K08508
Q5SQN1	SnaP47	K08509
O95721	SnaP29	K08509
P23763	VamP1	K08510
P63027	VamP2	K13504
Q15836	VamP3	K13505
Q6FGG2	VamP3	K13505
Q9BRV4	VamP3	K13505
Q9BV40	VamP8	K08512
O75379	VamP4	K08513
Q6IAZ3	VamP4	K08513
O95183	VamP5	K08514
Q6FG93	VamP5	K08514
P51809	VamP7	K08515
A4D2J0	Ykt6	K08516
O15498	Ykt6	K08516
O75396	Sec22b	K08517
Q5T5C0	StxBp5	K08518
Q9Y2K9	StxBp5l	K08518
Q8NFX7	StxBp6	K08519
Q96IW7	Sec22a	K08520
Q9BRL7	Sec22c	K08520
P17612	PrkAca	K04345
P22694	PrkAcb	K04345
B2RB89	PrkAcb	K04345
B4DKB0	PrkAcb	K04345
B1APG4	PrkAcb	K04345
B7ZA00	PrkAcb	K04345
P22612	PrkAcg	K04345
P51817	PrkX	K04345
Q13976	PrkG1	K07376
Q13237	PrkG2	K07376
P41743	PrkCi	K06069
E9PCW2	PrkCz	K06069
B7Z2J7	PrkCz	K06069
Q05513	PrkCz	K06069
P17252	PrkCa	K02677
B5BU22	PrkCa	K02677
Q7Z727	PrkCa	K02677
P05771	PrkCb	K02677
P05129	PrkCg	K02677
Q05655	PrkCd	K06068
Q02156	PrkCe	K06068
P24723	PrkCh	K06068
Q04759	PrkCq	K06068
Q9Y243	Akt3	K04456
P31749	Akt1	K04456
B0LPE5	Akt1	K04456
B3KVH4	Akt1	K04456
B4DG79	Akt2	K04456
P31751	Akt2	K04456
E5KR05	DmpK	K08788
Q09013	DmpK	K08788
E5KR08	DmpK	K08788
E5KR07	DmpK	K08788
E5KR06	DmpK	K08788
Q13464	RocK1	K04514
O75116	RocK2	K04514
Q8WTQ7	Grk7	K00909
Q15835	Grk1	K00909
P25098	AdrBk1	K00910
P35626	AdrBk2	K00910
Q8N433	AdrBk2	K00910
P32298	Grk4	K08291
P34947	Grk5	K08291
P43250	Grk6	K08291
Q9Y2H9	MasT1	K08789
O60307	MasT3	K08789
Q6P0Q8	MasT2	K08789
O15021	MasT4	K08789
Q15208	Stk38	K08790
Q9Y2H1	Stk38l	K08790
Q9NRM7	LatS2	K08791
O95835	LatS1	K08791
O15530	PdpK1	K06276
Q6P5Z2	Pkn3	K06071
Q16512	Pkn1	K06071
Q16513	Pkn2	K06071
Q9UK32	Rps6ka6	K04373
Q15418	Rps6ka1	K04373
Q15349	Rps6ka2	K04373
P51812	Rps6ka3	K04373
P23443	Rps6kb1	K04688
Q9UBS0	Rps6kb2	K04688
O75676	Rps6ka4	K04445
A0PJF8	Rps6ka4	K04445
O75582	Rps6ka5	K04445
Q9UG98	Rps6ka5	K04445
O00141	Sgk1	K13302
Q9HBY8	Sgk2	K13303
Q96BR1	Sgk3	K13304
Q5H9Q5	Sgk3	K13304
Q53EW6	Sgk3	K13304
Q8WU08	Stk32a	K08793
Q86UX6	Stk32c	K08793
Q9NY57	Stk32b	K08793
Q5SQQ7	CamK1d	K08794
Q8IU85	CamK1d	K08794
Q96NX5	CamK1g	K08794
Q14012	CamK1	K08794
B0YIY3	CamK1	K08794
Q16566	CamK4	K05869
Q6P2M8	PncK	K08795
B4E1A6	PncK	K08795
Q8IWE0	CamK2a	K04515
A8K161	CamK2a	K04515
Q9UQM7	CamK2a	K04515
Q7LDD5	CamK2a	K04515
Q13554	CamK2b	K04515
A4D2J9	CamK2b	K04515
A4D2K5	CamK2b	K04515
Q13557	CamK2d	K04515
Q13555	CamK2g	K04515
Q13280	CamK2g	K04515
Q8TDC3	BrsK1	K08796
Q8IWQ3	BrsK2	K08796
O14757	CheK1	K02216
P57058	HunK	K08797
Q7KZI7	MarK2	K08798
A8K2S4	MarK2	K08798
Q9P0L2	MarK1	K08798
P27448	MarK3	K08798
Q86TT8	MarK3	K08798
Q86U11	MarK3	K08798
Q96L34	MarK4	K08798
Q14680	MelK	K08799
Q9H093	NuaK2	K08800
O60285	NuaK1	K08800
Q96RG2	PasK	K08801
Q05BE4	PasK	K08801
Q13131	PrkAa1	K07198
P54646	PrkAa2	K07198
Q9NRH2	SnrK	K08802
Q15831	Stk11	K07298
Q59H88	DapK1	K08803
P53355	DapK1	K08803
O43293	DapK3	K08803
Q9UIK4	DapK2	K08803
Q53QE7	Stk17b	K08804
O94768	Stk17b	K08804
Q9UEE5	Stk17a	K08804
Q8N568	DclK2	K08805
O15075	DclK1	K08805
B7Z5K4	DclK1	K08805
P49137	MapKapk2	K04443
Q16644	MapKapk3	K04444
Q8IW41	MapKapk5	K04442
Q9HBH9	MknK2	K04372
B3KS07	MknK2	K04372
A8K341	MknK1	K04372
Q9BUB5	MknK1	K04372
Q15746	MylK	K00907
Q6P2N0	MylK	K00907
Q9UBY6	MylK	K00907
Q9H1R3	MylK2	K00907
Q32MK0	MylK3	K00907
Q16816	PhkG1	K00871
P15735	PhkG2	K00871
P11309	Pim1	K04702
Q9P1W9	Pim2	K08806
Q86V86	Pim3	K08807
O94806	PrkD3	K06070
Q9BZL6	PrkD2	K06070
Q8NCK8	PrkD2	K06070
Q15139	PrkD1	K06070
P11801	PskH1	K08808
Q96QS6	PskH2	K08808
O96017	CheK2	K06641
Q15772	SpeG	K08809
O75962	TriO	K08810
O60229	KalRn	K08810
C9JQ37	KalRn	K08810
